Sample ID,Sample resolution [m],state
100186499261_0.25,0.25,1
100186499261_0.2,0.2,1
100186499261_0.15,0.15,1
100186499261_0.1,0.1,1
100186499261_0.05,0.05,1
100220315753_0.25,0.25,1
100220315753_0.2,0.2,1
100220315753_0.15,0.15,1
100220315753_0.1,0.1,1
100220315753_0.05,0.05,1
100276300523_0.25,0.25,1
100276300523_0.2,0.2,1
100276300523_0.15,0.15,1
100276300523_0.1,0.1,1
100276300523_0.05,0.05,1
100342977051_0.25,0.25,1
100342977051_0.2,0.2,1
100342977051_0.15,0.15,1
100342977051_0.1,0.1,1
100342977051_0.05,0.05,1
100353419014_0.25,0.25,1
100353419014_0.2,0.2,1
100353419014_0.15,0.15,1
100353419014_0.1,0.1,1
100353419014_0.05,0.05,2
100369042119_0.25,0.25,1
100369042119_0.2,0.2,1
100369042119_0.15,0.15,1
100369042119_0.1,0.1,1
100369042119_0.05,0.05,1
100972493177_0.25,0.25,1
100972493177_0.2,0.2,1
100972493177_0.15,0.15,1
100972493177_0.1,0.1,1
100972493177_0.05,0.05,2
101014212277_0.25,0.25,1
101014212277_0.2,0.2,1
101014212277_0.15,0.15,1
101014212277_0.1,0.1,1
101014212277_0.05,0.05,1
101036215286_0.25,0.25,1
101036215286_0.2,0.2,1
101036215286_0.15,0.15,1
101036215286_0.1,0.1,1
101036215286_0.05,0.05,1
101200731302_0.25,0.25,1
101200731302_0.2,0.2,1
101200731302_0.15,0.15,1
101200731302_0.1,0.1,1
101200731302_0.05,0.05,1
101207761342_0.25,0.25,1
101207761342_0.2,0.2,1
101207761342_0.15,0.15,1
101207761342_0.1,0.1,1
101207761342_0.05,0.05,1
101233312184_0.25,0.25,1
101233312184_0.2,0.2,1
101233312184_0.15,0.15,1
101233312184_0.1,0.1,1
101233312184_0.05,0.05,1
101326598958_0.25,0.25,1
101326598958_0.2,0.2,1
101326598958_0.15,0.15,1
101326598958_0.1,0.1,1
101326598958_0.05,0.05,1
101338384434_0.25,0.25,1
101338384434_0.2,0.2,1
101338384434_0.15,0.15,1
101338384434_0.1,0.1,1
101338384434_0.05,0.05,1
101562632981_0.25,0.25,1
101562632981_0.2,0.2,1
101562632981_0.15,0.15,1
101562632981_0.1,0.1,1
101562632981_0.05,0.05,1
101641259102_0.25,0.25,1
101641259102_0.2,0.2,1
101641259102_0.15,0.15,1
101641259102_0.1,0.1,1
101641259102_0.05,0.05,1
101887251689_0.25,0.25,1
101887251689_0.2,0.2,1
101887251689_0.15,0.15,1
101887251689_0.1,0.1,1
101887251689_0.05,0.05,1
101911513617_0.25,0.25,1
101911513617_0.2,0.2,1
101911513617_0.15,0.15,1
101911513617_0.1,0.1,1
101911513617_0.05,0.05,1
101937905822_0.25,0.25,1
101937905822_0.2,0.2,1
101937905822_0.15,0.15,1
101937905822_0.1,0.1,1
101937905822_0.05,0.05,1
101966384594_0.25,0.25,1
101966384594_0.2,0.2,1
101966384594_0.15,0.15,1
101966384594_0.1,0.1,1
101966384594_0.05,0.05,1
102161884304_0.25,0.25,1
102161884304_0.2,0.2,1
102161884304_0.15,0.15,1
102161884304_0.1,0.1,1
102161884304_0.05,0.05,1
102201244519_0.25,0.25,1
102201244519_0.2,0.2,1
102201244519_0.15,0.15,1
102201244519_0.1,0.1,1
102201244519_0.05,0.05,1
102241430906_0.25,0.25,1
102241430906_0.2,0.2,1
102241430906_0.15,0.15,1
102241430906_0.1,0.1,1
102241430906_0.05,0.05,1
102342184388_0.25,0.25,1
102342184388_0.2,0.2,1
102342184388_0.15,0.15,1
102342184388_0.1,0.1,1
102342184388_0.05,0.05,1
102415137644_0.25,0.25,1
102415137644_0.2,0.2,1
102415137644_0.15,0.15,1
102415137644_0.1,0.1,1
102415137644_0.05,0.05,1
102628147077_0.25,0.25,1
102628147077_0.2,0.2,1
102628147077_0.15,0.15,1
102628147077_0.1,0.1,1
102628147077_0.05,0.05,1
102688172642_0.25,0.25,1
102688172642_0.2,0.2,1
102688172642_0.15,0.15,1
102688172642_0.1,0.1,1
102688172642_0.05,0.05,1
102864920009_0.25,0.25,1
102864920009_0.2,0.2,1
102864920009_0.15,0.15,1
102864920009_0.1,0.1,1
102864920009_0.05,0.05,1
103259424941_0.25,0.25,1
103259424941_0.2,0.2,1
103259424941_0.15,0.15,1
103259424941_0.1,0.1,1
103259424941_0.05,0.05,1
103333995323_0.25,0.25,1
103333995323_0.2,0.2,1
103333995323_0.15,0.15,1
103333995323_0.1,0.1,1
103333995323_0.05,0.05,1
103529255472_0.25,0.25,1
103529255472_0.2,0.2,1
103529255472_0.15,0.15,1
103529255472_0.1,0.1,1
103529255472_0.05,0.05,1
103533368701_0.25,0.25,1
103533368701_0.2,0.2,1
103533368701_0.15,0.15,1
103533368701_0.1,0.1,1
103533368701_0.05,0.05,1
103707722230_0.25,0.25,1
103707722230_0.2,0.2,1
103707722230_0.15,0.15,1
103707722230_0.1,0.1,1
103707722230_0.05,0.05,1
104157210444_0.25,0.25,1
104157210444_0.2,0.2,1
104157210444_0.15,0.15,1
104157210444_0.1,0.1,1
104157210444_0.05,0.05,1
104257462618_0.25,0.25,1
104257462618_0.2,0.2,1
104257462618_0.15,0.15,1
104257462618_0.1,0.1,1
104257462618_0.05,0.05,1
104271298101_0.25,0.25,1
104271298101_0.2,0.2,1
104271298101_0.15,0.15,1
104271298101_0.1,0.1,1
104271298101_0.05,0.05,1
104394109695_0.25,0.25,1
104394109695_0.2,0.2,1
104394109695_0.15,0.15,1
104394109695_0.1,0.1,1
104394109695_0.05,0.05,1
104512334909_0.25,0.25,1
104512334909_0.2,0.2,1
104512334909_0.15,0.15,1
104512334909_0.1,0.1,1
104512334909_0.05,0.05,1
104516318481_0.25,0.25,1
104516318481_0.2,0.2,1
104516318481_0.15,0.15,1
104516318481_0.1,0.1,1
104516318481_0.05,0.05,2
105450293227_0.25,0.25,1
105450293227_0.2,0.2,1
105450293227_0.15,0.15,1
105450293227_0.1,0.1,1
105450293227_0.05,0.05,1
105537620615_0.25,0.25,1
105537620615_0.2,0.2,1
105537620615_0.15,0.15,1
105537620615_0.1,0.1,1
105537620615_0.05,0.05,1
106801179599_0.25,0.25,1
106801179599_0.2,0.2,1
106801179599_0.15,0.15,1
106801179599_0.1,0.1,1
106801179599_0.05,0.05,1
106895588671_0.25,0.25,1
106895588671_0.2,0.2,1
106895588671_0.15,0.15,1
106895588671_0.1,0.1,1
106895588671_0.05,0.05,1
107024614490_0.25,0.25,1
107024614490_0.2,0.2,1
107024614490_0.15,0.15,1
107024614490_0.1,0.1,1
107024614490_0.05,0.05,1
107116204603_0.25,0.25,1
107116204603_0.2,0.2,1
107116204603_0.15,0.15,1
107116204603_0.1,0.1,1
107116204603_0.05,0.05,1
107301169331_0.25,0.25,1
107301169331_0.2,0.2,1
107301169331_0.15,0.15,1
107301169331_0.1,0.1,1
107301169331_0.05,0.05,1
107485499703_0.25,0.25,1
107485499703_0.2,0.2,1
107485499703_0.15,0.15,1
107485499703_0.1,0.1,1
107485499703_0.05,0.05,1
107513665883_0.25,0.25,1
107513665883_0.2,0.2,1
107513665883_0.15,0.15,1
107513665883_0.1,0.1,1
107513665883_0.05,0.05,1
107756902402_0.25,0.25,1
107756902402_0.2,0.2,1
107756902402_0.15,0.15,1
107756902402_0.1,0.1,1
107756902402_0.05,0.05,1
107838887126_0.25,0.25,1
107838887126_0.2,0.2,1
107838887126_0.15,0.15,1
107838887126_0.1,0.1,1
107838887126_0.05,0.05,1
107842986230_0.25,0.25,1
107842986230_0.2,0.2,1
107842986230_0.15,0.15,1
107842986230_0.1,0.1,1
107842986230_0.05,0.05,1
107872357852_0.25,0.25,1
107872357852_0.2,0.2,1
107872357852_0.15,0.15,1
107872357852_0.1,0.1,1
107872357852_0.05,0.05,1
107942570611_0.25,0.25,1
107942570611_0.2,0.2,1
107942570611_0.15,0.15,1
107942570611_0.1,0.1,1
107942570611_0.05,0.05,1
107943606203_0.25,0.25,1
107943606203_0.2,0.2,1
107943606203_0.15,0.15,1
107943606203_0.1,0.1,1
107943606203_0.05,0.05,1
108031971697_0.25,0.25,1
108031971697_0.2,0.2,1
108031971697_0.15,0.15,1
108031971697_0.1,0.1,1
108031971697_0.05,0.05,1
108445906747_0.25,0.25,1
108445906747_0.2,0.2,1
108445906747_0.15,0.15,1
108445906747_0.1,0.1,1
108445906747_0.05,0.05,1
108691590340_0.25,0.25,1
108691590340_0.2,0.2,1
108691590340_0.15,0.15,1
108691590340_0.1,0.1,1
